dataset,mode,n_folds,oracle_1_mean,oracle_1_std,oracle_M_mean,oracle_M_std,majority_vote_mean,majority_vote_std,mean_probs_mean,mean_probs_std,mean_individual_acc_mean
Banana,ga,3,0.9965002483743112,0.003772733416960879,0.7369963666815241,0.03800589182517232,0.97199673436555,0.005705702674123735,0.97199673436555,0.005705702674123735,0.9565479872676276
Banana,rf,3,0.9979994987491239,0.0017324863660759069,0.5220010115062589,0.01583932000302402,0.9744962353658005,0.006563486107843161,0.9744962353658005,0.006563486107843161,0.9519318869093981
Vehicle,ga,3,1.0,0.0,0.05319148936170212,0.010638297872340424,0.7434988179669032,0.007381794324347991,0.7434988179669032,0.007381794324347991,0.6474940898345154
Vehicle,rf,3,1.0,0.0,0.02482269503546099,0.01625026842182922,0.7553191489361701,0.012785642820794276,0.7553191489361701,0.012785642820794276,0.6416548463356974
Wine,ga,3,1.0,0.0,0.185969868173258,0.11179031292305387,0.9661958568738229,0.017090590028619807,0.9661958568738229,0.017090590028619807,0.8634915254237289
Wine,rf,3,1.0,0.0,0.07881355932203389,0.026353070856722397,0.9887947269303202,0.009705078979176973,0.9887947269303202,0.009705078979176973,0.8684312617702449
